"Source:","E:\_Moje_dydy\Documents\Projekty\__sources\piclock\kicad\pihat\pihat\pihat_smd.kicad_sch"
"Date:","21.03.2023 13:07:37"
"Tool:","Eeschema 7.0.1"
"Generator:","D:\Programy\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","2","D1, D2","1N4148W","Diode:1N4148W","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","","D","1=K 2=A"
"2","1","J1","ENC_1","Connector_Generic:Conn_01x05","Connector_JST:JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal","~","","",""
"3","1","J2","ENC_2","Connector_Generic:Conn_01x05","Connector_JST:JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal","~","","",""
"4","1","J3","BTN_1","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"5","1","J4","BTN_2","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"6","1","J5","BTN_3","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"7","1","J6","Raspberry","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","~","","",""
"8","1","J7","PWR_IN","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal","~","","",""
"9","1","J8","PWR_OUT_PI","Connector_Generic:Conn_01x02","Connector_Wire:SolderWire-0.75sqmm_1x02_P4.8mm_D1.25mm_OD2.3mm","~","","",""
"10","1","J9","PWR_OUT_A","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"11","1","J10","PWR_OUT_B","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"12","1","J11","I2C_OUT_A","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"13","1","J12","BOARDS_RESET","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"14","1","J13","EXT_PWR_LED","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"15","1","J14","I2C_OUT_B","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"16","3","Q1, Q2, Q3","BC846","Transistor_BJT:BC846","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BC846_SER.pdf","","",""
"17","2","Q4, Q5","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","",""
"18","6","R1, R3, R6, R7, R8, R9","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","",""
"19","3","R2, R4, R5","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","",""
"20","1","SW1","SW_Push","Switch:SW_Push","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
