"Source:","H:\_Moje_dydy\Documents\Projekty\__sources\piclock\kicad\nixiecockB\nixiecockB.kicad_sch"
"Date:","25.06.2022 10:28:06"
"Tool:","Eeschema (6.0.0)"
"Generator:","E:\Programy\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","32"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"A1, ","1","VFD_Boost_Converter","VFD_Boost_Converter","nixieCockB:VFD Boost Converter","",""
"C1, C2, ","2","22pF","C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Unpolarized capacitor",""
"C3, C4, C5, C6, ","4","0.1uF","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor",""
"D1, ","1","LED","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"J1, ","1","UART","Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","PWR","Conn_01x02_Male_3","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","I2C DATA","Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6, ","1","Lamp Connector","Conn_02x10_Odd_Even","Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical","Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","BC548","BC548","Package_TO_SOT_THT:TO-92_Inline","0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",""
"R1, R3, R5, ","3","330","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R2, R4, ","2","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R6, ","1","8,2k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R7, ","1","4,7","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"RN1, RN2, RN3, RN4, ","4","8,2k","R_Pack04_SIP","Resistor_THT:R_Array_SIP8","4 resistor network, parallel topology, SIP package",""
"SW1, ","1","RESET","SW_MEC_5E","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","MEC 5E single pole normally-open tactile switch",""
"U1, ","1","ATmega328-P","ATmega328-P","Package_DIP:DIP-28_W7.62mm_Socket","20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, DIP-28",""
"U2, ","1","HV SWITCH","SFH619A","SamacSys_Parts:DIP762W56P254L469H470Q4N","Vishay SFH619A DC Input Photodarlington Output Optocoupler, Through Hole, 4-Pin DIP",""
"U3, ","1","74HC164","74HC164","Package_DIP:DIP-14_W7.62mm_Socket","8-bit serial-in parallel-out shift register",""
"U4, U5, ","2","TBD62783A","TBD62783A","Package_DIP:DIP-18_W7.62mm_Socket","8-Channel Source Type Transistor Array, TTL and CMOS compatible, 500mA, 50V, DIP-18/SOP-18/SSOP-18/SOIC-18W",""
"U6, ","1","G9 SWITCH","SFH619A","SamacSys_Parts:DIP762W56P254L469H470Q4N","Vishay SFH619A DC Input Photodarlington Output Optocoupler, Through Hole, 4-Pin DIP",""
"X1, ","1","16Mhz","Crystal","Crystal:Crystal_HC49-4H_Vertical","Two pin crystal",""
