"Source:","H:\_Moje_dydy\Documents\Projekty\__sources\piclock\kicad\xprmnt\xprmnt2\xprmnt2\xprmnt2.kicad_sch"
"Date:","25.05.2022 22:14:36"
"Tool:","Eeschema (6.0.0)"
"Generator:","E:\Programy\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","BAT1","BS-7","dk_Battery-Holders-Clips-Contacts:BS-7","digikey-footprints:Battery_Holder_Coin_2032_BS-7","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","Battery Products","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","/product-detail/en/mpd-memory-protection-devices/BS-7/BS-7-ND/389447","BATTERY HOLDER COIN 20MM PC PIN","BS-7-ND","Battery Holders, Clips, Contacts","BS-7","MPD (Memory Protection Devices)","Active"
"","","C1","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","",""
"","","C2","100uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","",""
"","","D1","RED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","","","",""
"","","D2","RED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","","","",""
"","","Q1","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","","","","","","","",""
"","","R1","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R2","330k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R3","22k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R4","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R5","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R6","100","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
"","","R7","100","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","","","","","","","","",""
